system:index,NDVI,aspect,b1,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b2,b3,b4,b5,b6,b7,b8,b9,CHM,eastness,elevation,GHMI,landcover,month,NARI,NCRI,northness,random,slope,snow_cover,snow_depth,species,SWE,year,.geo
64_0_0,0.203859679,185,-4.495636,4.576233,-13.903717,1615.8218,225.62172,49.744606,49.744606,604.09705,220.70718,628.399,256.6234,-4.495636,-4.495636,-4.495636,11.256989,-8.5008545,-8.5008545,6.0145264,-12.717804,0,-0.087155743,2695,0.032997146,332,8,0.015924744,-2.33E-04,-0.996194698,0.766408732,16,67.07360367,0.856545173,Lagopus muta,0.248474303,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.687499999999998,47.05416666666666]}"
65_0_0,0.063416357,339,-4.2626038,4.9795837,-13.920929,1611.3501,255.62335,44.453667,44.453667,640.4209,208.03902,609.4614,245.42973,-4.2626038,-4.2626038,-4.2626038,11.821564,-8.650299,-8.650299,5.088684,-11.868927,0,-0.35836795,2693,0.022068422,332,9,0.013678502,-0.026950184,0.933580426,0.20706977,16,65.03997594,0.740213724,Lagopus muta,0.216368778,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.170833333333329,46.97916666666666]}"
67_0_0,0.253885055,207,-1.308075,7.70166,-10.689178,1491.7987,206.26042,46.92022,46.92022,537.41724,213.6746,544.78406,247.27748,-1.308075,-1.308075,-1.308075,14.563904,-5.453186,-5.453186,8.161774,-9.424591,0,-0.4539905,2484,0.05646214,333,9,0.11609022,0.09238371,-0.891006524,0.897325346,7,59.65962767,0.586064469,Lagopus muta,0.176246182,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.3875,47.16249999999999]}"
68_0_0,0.206296441,81,-0.274292,8.733063,-9.946381,1822.6074,286.58728,47.590992,47.590992,715.4257,234.8898,666.8989,281.6394,-0.274292,-0.274292,-0.274292,15.273285,-4.915039,-4.915039,8.182098,-7.5657043,0,0.987688341,2031,0.14068696,333,9,0.10742067,0.11252488,0.156434465,0.199118534,14,51.15294269,0.348647953,Lagopus muta,0.101753109,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.237499999999997,47.32916666666666]}"
69_0_0,0.213811837,79,-1.7658081,7.3846436,-11.52124,1692.3943,255.45717,47.069824,47.069824,605.18134,245.26253,553.96515,332.0948,-1.7658081,-1.7658081,-1.7658081,14.178497,-6.4449463,-6.4449463,6.0163574,-7.380493,0,0.981627183,2549,0.021433752,332,9,0.07223417,0.016344097,0.190808995,0.655887806,16,63.80200585,0.873533709,Lagopus muta,0.273622036,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.237499999999995,47.05416666666666]}"
70_0_0,0.602792732,223,-0.23318481,8.903687,-10.244751,1217.4307,165.88557,35.601032,35.601032,437.20673,152.61276,495.77423,173.61697,-0.23318481,-0.23318481,-0.23318481,16.125427,-4.8854065,-4.8854065,9.576538,-10.125641,1,-0.68199836,2027,0.05953982,321,10,0.29801583,0.31044412,-0.731353702,0.973883963,4,36.36307496,0.120209645,Lagopus muta,0.029458994,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.829166666666666,46.77916666666666]}"
71_0_0,0.53546558,141,-1.8369141,7.3679504,-11.611053,1524.4089,222.72177,42.226,42.226,570.0547,191.4739,568.9256,230.05174,-1.8369141,-1.8369141,-1.8369141,13.978302,-6.0025635,-6.0025635,7.3526306,-10.458527,0,0.629320391,2283,0.08280105,321,11,0.14743896,0.20940866,-0.777145961,0.752499286,9,57.26587604,0.492917361,Lagopus muta,0.143251504,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.779166666666665,46.88749999999999]}"
73_0_0,0.748776567,268,2.0628662,11.091492,-7.2708435,1471.2837,219.9378,42.28447,42.28447,543.7328,202.45126,495.95728,250.2691,2.0628662,2.0628662,2.0628662,17.501251,-1.737793,-1.737793,9.55072,-5.086334,0,-0.999390827,1673,0.037083693,322,1,0.28152373,0.29860452,-0.034899497,0.986247737,14,60.33192237,0.597305625,Lagopus muta,0.177413799,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.062499999999998,47.05416666666666]}"
74_0_0,0.399705464,154,-0.68582153,8.315826,-10.293549,1794.4292,278.2319,47.582157,47.582157,696.85693,234.8378,650.7062,280.96024,-0.68582153,-0.68582153,-0.68582153,14.9296875,-5.2737427,-5.2737427,7.6440735,-7.8509216,0,0.438371147,2065,0.18014964,333,1,0.08817636,0.090452276,-0.898794046,0.149527844,14,50.21822877,0.329352884,Lagopus muta,0.095268584,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.387499999999996,47.31249999999999]}"
75_0_0,0.511485813,112,-1.1358032,8.179657,-10.891052,1332.2893,214.21793,33.868023,33.868023,514.2789,167.80782,475.9713,211.93329,-1.1358032,-1.1358032,-1.1358032,14.740234,-5.483612,-5.483612,6.866577,-8.256653,0,0.927183855,2287,0.015231869,321,2,0.19969156,0.20703575,-0.374606593,0.949492203,10,94.47436535,27.80086419,Lagopus muta,8.337550148,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.904166666666663,46.820833333333326]}"
